city,region,neighbourhood,latitude,longitude,DSP,Address
Sydney,CBD,The Rocks,-33.8594691,151.2089396,1,"132-134 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8577512,151.2086846,1,"LEVEL 1, 47 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8575911,151.2090375,1,"SUITE 2, LEVEL 4, 88 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.862808,151.2070701,1,"LEVEL 43, 205-227 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8594371,151.2092969,1,"SHOP 203, 140 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8608034,151.208309,1,"SUITE 1, LEVEL 7, 155 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8572055,151.2088031,1,"SHOP 5G, 80 GEORGE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 11G, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8611898,151.2071154,1,"UNIT 71, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625674,151.2057364,1,"SHOP 7, 185 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 2009, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 7D, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8626085,151.2061489,1,"LEVEL 1, 156 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 19A, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8611898,151.2071154,1,"UNIT 60, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8617542,151.2068885,1,"SUITE 2702, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 12F, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 806, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 2008, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8594179,151.2072617,1,"LEVEL 3, 40 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 1304, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8597767,151.2073921,1,"46A GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8608411,151.2071238,1,"87 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8611898,151.2071154,1,"UNIT 79, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593878,151.2071886,1,"1A GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 2006, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 7F, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8594179,151.2072617,1,"SHOP 1, LEVEL 1, 40 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8617542,151.2068885,1,"SUITE 2703, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8611898,151.2071154,1,"UNIT 81, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8617542,151.2068885,1,"SUITE 2604, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 18D, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8616923,151.2069393,1,"UNIT 1505, 96-118 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8623713,151.2059587,1,"UNIT 5C, 171 GLOUCESTER STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 902, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8615765,151.2069651,1,"LEVEL 1, 111 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 606, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596399,151.2076289,1,"SUITE 122, LEVEL 1, 35-53 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596399,151.2076289,1,"SUITE 123, LEVEL 1, 35-53 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8613894,151.2072151,1,"109 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 1107, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8615765,151.2069651,1,"SUITE 1, 111 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 2101, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625387,151.206403,1,"UNIT 4003, 129 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 1905, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596402,151.207629,1,"LEVEL 3, 55 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 1007, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596399,151.2076289,1,"LEVEL 1, 35-53 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 2603, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 3203, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 2305, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596402,151.207629,1,"SUITE 2, LEVEL 5, 55 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8596399,151.2076289,1,"SUITE 117, LEVEL 1, 35-53 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8625834,151.2063732,1,"UNIT 1401, 129-135 HARRINGTON STREET, The Rocks, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 329, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 121, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 8, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 19, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 226, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88427092,151.1898088,1,"UNIT 123, 25 ARUNDEL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 1, 38 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 4, 28 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 11, 44 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 3, 38 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 1, 41 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87848591,151.1818713,1,"UNIT 7, 38 BOYCE STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 24, 213-221 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 18, 173 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 8, 208 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 9, 148 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 4, 191-195 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88110403,151.1834156,1,"UNIT 1, 213-215 BRIDGE ROAD, Glebe, NSW"
Sydney,CBD,Glebe,-33.88118381,151.1893881,1,"70-72 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88056793,151.1890889,1,"107 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88116191,151.18992,1,"67 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88229537,151.1911464,1,"18 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88177905,151.1910588,1,"35 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.88225057,151.1918141,1,"1 CAMPBELL STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.8732782,151.1841964,1,"UNIT 5, 10 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.87248515,151.1840066,1,"UNIT 1, 29 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.8732782,151.1841964,1,"UNIT 17, 10 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.8732782,151.1841964,1,"UNIT 16, 12 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.8732782,151.1841964,1,"UNIT 7, 14 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Glebe,-33.8732782,151.1841964,1,"UNIT 2, 13-15 LEICHHARDT STREET, Glebe, NSW"
Sydney,CBD,Ultimo,-33.8830884,151.2021932,1,"UNIT 1702, 702-730 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8758379,151.1972033,1,"423 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8765684,151.1980642,1,"428 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8835389,151.2021621,1,"UNIT 101, LEVEL 4, 732 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983397,1,"UNIT 707B, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8801342,151.1996123,1,"UNIT 3, 623 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983395,1,"UNIT 506, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8835389,151.2021621,1,"UNIT 41, 732 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8835389,151.2021621,1,"UNIT 28, 732 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983397,1,"UNIT 512B, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983397,1,"UNIT B402, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8830884,151.2021932,1,"UNIT 1034, 702-730 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983395,1,"UNIT 501, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8830884,151.2021932,1,"UNIT 1904, 702-730 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8782234,151.1985204,1,"UNIT 8, 531-533 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983397,1,"UNIT 509B, 444 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8768036,151.1983395,1,"UNIT 402, 452 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8813238,151.2009966,1,"UNIT 55, 646 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8830884,151.2021932,1,"UNIT 1127, 702-730 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8835389,151.2021621,1,"UNIT 36, 732 HARRIS STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87985365,151.1968332,1,"UNIT 53, 99 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87985365,151.1968332,1,"UNIT 612, 99 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87877965,151.1972668,1,"UNIT 41, 460 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87628379,151.1957684,1,"364 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87714857,151.1962837,1,"UNIT 125, 392 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.87833776,151.1959576,1,"UNIT 232, 71 JONES STREET, Ultimo, NSW"
Sydney,CBD,Ultimo,-33.8791084,151.1966717,1,"SUITE 51, 89-97 JONES STREET, Ultimo, NSW"
